player,team_id,role,prediction_period_id,target_cutoff,prior_role_adjusted_kp,source_cutoff,latest_source_match_timestamp
WildTurtle,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.33488018486397164,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Santorin,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.12267882026944611,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
PowerOfEvil,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.09807250878253906,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Ignar,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.11928034228546193,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Stunt,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.05181807827851904,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.12926449694979772,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Cody Sun,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.6007829138546141,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Meteos,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.49745976963386507,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Ssumday,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.016880417887054307,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.2805773631679341,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
FBI,oe:team:87ee02298073abc2d55060f097d4041,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.03238977317421903,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Goldenglue,oe:team:87ee02298073abc2d55060f097d4041,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.027229033392605465,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Closer,oe:team:87ee02298073abc2d55060f097d4041,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.002995298343519274,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Keith,oe:team:87ee02298073abc2d55060f097d4041,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.5166410959259956,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
CoreJJ,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.2130938870278441,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Impact,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.01575498278753123,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.2152627507677138,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Jensen,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.016178084465774636,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Doublelift,oe:team:8eb884e168f28402ce685bedebb5250,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.2959065653761873,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.1304179051634793,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
BrokenBlade,oe:team:a22510a4756fa424cb0771b13261139,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.2053522920848436,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Biofrost,oe:team:a22510a4756fa424cb0771b13261139,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.10904165809832396,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Dardoch,oe:team:a22510a4756fa424cb0771b13261139,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.09883144124128584,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Kobbe,oe:team:a22510a4756fa424cb0771b13261139,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.4690615352218731,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Altec,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.15560691558966416,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Xmithie,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.26335067457609035,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Eika,oe:team:c334c629fea759876e9e04afbe4aee7,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.8700264517564519,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Hakuho,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.5718987453964925,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
sOAZ,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,-0.38084934269897325,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Griffin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,0.1780611710281818,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
