player,target_cutoff,team_id,role,locks_with_current_team,recent_starter_continuity,relationship_status,latest_source_match_timestamp
Fudge,2025-04-21 20:07:10+00:00,oe:team:b360f1d729b0a8e0f29a5243c4200fa,TOP,31,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-04-20 22:02:17+00:00
TitaN,2025-09-13 20:14:47+00:00,oe:team:61450737f7b683db4da7b3e0bf0dced,BOT,75,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-06 18:07:07+00:00
Rabelo,2025-09-13 20:14:47+00:00,oe:team:67169969ecc058b307edfa9c6b7a3c0,BOT,67,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-07 17:54:49+00:00
River,2025-09-13 20:14:47+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,58,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-07 22:50:47+00:00
CarioK,2025-09-13 20:14:47+00:00,oe:team:61450737f7b683db4da7b3e0bf0dced,JGL,75,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-06 18:07:07+00:00
Massu,2025-09-20 20:12:24+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,72,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-07 22:50:47+00:00
Morttheus,2025-09-20 20:12:24+00:00,oe:team:b9e44c69c1a70fb35df9be96f9eafea,BOT,66,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-07 17:54:49+00:00
Busio,2025-09-20 20:12:24+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,72,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-07 22:50:47+00:00
frosty,2025-09-20 20:12:24+00:00,oe:team:67169969ecc058b307edfa9c6b7a3c0,SUP,68,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-14 23:42:24+00:00
Gakgos,2025-09-20 20:12:24+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,72,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-07 22:50:47+00:00
fNb,2025-09-20 20:12:24+00:00,oe:team:67169969ecc058b307edfa9c6b7a3c0,TOP,68,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-14 23:42:24+00:00
River,2025-09-27 20:15:13+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,60,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-21 21:53:03+00:00
Inspired,2025-09-27 20:15:13+00:00,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,73,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-20 21:56:51+00:00
Mireu,2025-09-27 20:15:13+00:00,oe:team:b9e44c69c1a70fb35df9be96f9eafea,MID,67,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-20 21:56:51+00:00
Quid,2025-09-27 20:15:13+00:00,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,60,1.0,QUALIFIED_FROM_PRIOR_PARTICIPATION_ONLY,2025-09-21 21:53:03+00:00
