player,team_id,role,prediction_period_id,target_cutoff,roster_continuity,team_change,role_change,source_cutoff,latest_source_match_timestamp
Biofrost,oe:team:a22510a4756fa424cb0771b13261139,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Dardoch,oe:team:a22510a4756fa424cb0771b13261139,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Kobbe,oe:team:a22510a4756fa424cb0771b13261139,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Altec,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Xmithie,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Eika,oe:team:c334c629fea759876e9e04afbe4aee7,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Hakuho,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
sOAZ,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Griffin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Smoothie,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Stixxay,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Ruin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Crown,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Bang,oe:team:f7f7324c151aa6ed770b244ce08e027,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Kumo,oe:team:f7f7324c151aa6ed770b244ce08e027,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Zeyzal,oe:team:f7f7324c151aa6ed770b244ce08e027,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Svenskeren,oe:team:f7f7324c151aa6ed770b244ce08e027,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Jiizuke,oe:team:f7f7324c151aa6ed770b244ce08e027,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Nisqy,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Vulcan,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Licorice,oe:team:fc8e90107dabb9a35c490b0d86adea0,TOP,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Blaber,oe:team:fc8e90107dabb9a35c490b0d86adea0,JGL,period:01bed218199c5fc6a295,2020-01-25 21:37:53+00:00,,False,False,2020-01-25 21:37:53+00:00,
Armao,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
Froggen,oe:team:0dbb780176ecad18f17292d1f5653af,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
Johnsun,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
Huni,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
aphromoo,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T19:20:42Z
V1per,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
WildTurtle,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Santorin,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
PowerOfEvil,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Ignar,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Stunt,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Cody Sun,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Meteos,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Ssumday,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
FBI,oe:team:87ee02298073abc2d55060f097d4041,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Goldenglue,oe:team:87ee02298073abc2d55060f097d4041,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Closer,oe:team:87ee02298073abc2d55060f097d4041,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Keith,oe:team:87ee02298073abc2d55060f097d4041,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
CoreJJ,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Impact,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Jensen,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Doublelift,oe:team:8eb884e168f28402ce685bedebb5250,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
BrokenBlade,oe:team:a22510a4756fa424cb0771b13261139,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Biofrost,oe:team:a22510a4756fa424cb0771b13261139,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Dardoch,oe:team:a22510a4756fa424cb0771b13261139,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Kobbe,oe:team:a22510a4756fa424cb0771b13261139,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T02:16:14Z
Altec,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Xmithie,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Eika,oe:team:c334c629fea759876e9e04afbe4aee7,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Hakuho,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
sOAZ,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T20:35:10Z
Griffin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Smoothie,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Stixxay,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Ruin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Crown,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:57:50Z
Bang,oe:team:f7f7324c151aa6ed770b244ce08e027,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Kumo,oe:team:f7f7324c151aa6ed770b244ce08e027,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Zeyzal,oe:team:f7f7324c151aa6ed770b244ce08e027,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Svenskeren,oe:team:f7f7324c151aa6ed770b244ce08e027,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Jiizuke,oe:team:f7f7324c151aa6ed770b244ce08e027,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-28T00:52:53Z
Zven,oe:team:fc8e90107dabb9a35c490b0d86adea0,BOT,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Nisqy,oe:team:fc8e90107dabb9a35c490b0d86adea0,MID,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Vulcan,oe:team:fc8e90107dabb9a35c490b0d86adea0,SUP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Licorice,oe:team:fc8e90107dabb9a35c490b0d86adea0,TOP,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Blaber,oe:team:fc8e90107dabb9a35c490b0d86adea0,JGL,period:18c306f73901eb8e548e,2020-02-01 21:36:35+00:00,1.0,False,False,2020-02-01 21:36:35+00:00,2020-01-26T22:02:06Z
Armao,oe:team:0dbb780176ecad18f17292d1f5653af,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Froggen,oe:team:0dbb780176ecad18f17292d1f5653af,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Johnsun,oe:team:0dbb780176ecad18f17292d1f5653af,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Huni,oe:team:0dbb780176ecad18f17292d1f5653af,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
aphromoo,oe:team:0dbb780176ecad18f17292d1f5653af,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
V1per,oe:team:2e66da41dc460dd378e3bcc57042d31,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
WildTurtle,oe:team:2e66da41dc460dd378e3bcc57042d31,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Santorin,oe:team:2e66da41dc460dd378e3bcc57042d31,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
PowerOfEvil,oe:team:2e66da41dc460dd378e3bcc57042d31,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Ignar,oe:team:2e66da41dc460dd378e3bcc57042d31,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T00:34:15Z
Stunt,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Ryoma,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Cody Sun,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Meteos,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Ssumday,oe:team:4bd1751425ef6a9bc9d4d8e9385b4a6,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T21:43:55Z
Hauntzer,oe:team:87ee02298073abc2d55060f097d4041,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
FBI,oe:team:87ee02298073abc2d55060f097d4041,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Goldenglue,oe:team:87ee02298073abc2d55060f097d4041,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Closer,oe:team:87ee02298073abc2d55060f097d4041,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Keith,oe:team:87ee02298073abc2d55060f097d4041,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
CoreJJ,oe:team:8eb884e168f28402ce685bedebb5250,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Impact,oe:team:8eb884e168f28402ce685bedebb5250,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Shernfire,oe:team:8eb884e168f28402ce685bedebb5250,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Jensen,oe:team:8eb884e168f28402ce685bedebb5250,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Doublelift,oe:team:8eb884e168f28402ce685bedebb5250,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T19:30:23Z
Bjergsen,oe:team:a22510a4756fa424cb0771b13261139,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
BrokenBlade,oe:team:a22510a4756fa424cb0771b13261139,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Biofrost,oe:team:a22510a4756fa424cb0771b13261139,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Dardoch,oe:team:a22510a4756fa424cb0771b13261139,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Kobbe,oe:team:a22510a4756fa424cb0771b13261139,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Altec,oe:team:c334c629fea759876e9e04afbe4aee7,BOT,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Xmithie,oe:team:c334c629fea759876e9e04afbe4aee7,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Eika,oe:team:c334c629fea759876e9e04afbe4aee7,MID,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Hakuho,oe:team:c334c629fea759876e9e04afbe4aee7,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
sOAZ,oe:team:c334c629fea759876e9e04afbe4aee7,TOP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-02T22:39:41Z
Griffin,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,JGL,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
Smoothie,oe:team:cbfaf0ca2181f0903d2fcceb6c28f3b,SUP,period:bd2e80371da37619c695,2020-02-08 21:30:18+00:00,1.0,False,False,2020-02-08 21:30:18+00:00,2020-02-04T02:11:50Z
